subject,accuracy,threshold
268006_1,0.739240506329114,0.148
268006_2,0.7755610972568578,0.372
280933_1,0.7134020618556701,0.072
280933_2,0.854043392504931,0.26
476030_1,0.6795131845841785,0.079
476030_2,0.9322709163346613,0.584
659640_1,0.8714555765595463,0.168
659640_2,0.721627408993576,0.348
725232_1,0.964622641509434,0.195
725232_2,0.5040431266846361,0.083
754128_1,0.936,0.539
754128_2,0.7119675456389453,0.145
812810_1,0.8270833333333333,0.159
812810_2,0.8549323017408124,0.139
897304_1,0.8870292887029289,0.23
897304_2,0.8239845261121856,0.147
900778_1,0.6850094876660342,0.122
900778_2,0.7623126338329764,0.089
958733_1,0.551063829787234,0.307
958733_2,0.7142857142857143,0.166
